,titulo,subtitulo,cuerpo,publicacion,actualizacion,url
0, EE.UU.: Varios heridos en un tiroteo en un centro comercial de Wisconsin,"El alcalde Dennis McBride indicó que unos 75 agentes de policía de varias ciudades cercanas acudieron al centro comercial Mayfair Mall, donde se produjo el incidente, pero el sospechoso no ha sido detenido","__________________________Conforme a los criterios deMensah, que también es negro y que dijo que disparó al joven porque este le apuntó con una arma, no fue procesado por la justicia, pero a raíz del incidente, llegó recientemente a un acuerdo con la ciudad por el que dejará la policía a cambio de una indemnización de 130.000 dólares. Debido a ese incidente, el centro comercial fue blanco de protestas esporádicas durante varios meses.El centro comercial Mayfair Mall fue escenario en febrero pasado de un tiroteo en el que un agente de Wauwatosa, Joseph Mensah, mató de un disparo al joven negro de 17 años Alvin Cole cuando presuntamente huía de la policía.Según testigos citados por los medios locales, durante el tiroteo se escucharon entre ocho y doce disparos, y tras la llegada de los equipos de emergencia, unas cinco personas fueron sacadas en camilla del centro comercial. En la investigación coopera también la división de la policía federal (FBI) de Milwaukee, a cuyas afueras está Wauwatosa.“Llevará tiempo proporcionar información adicional, y quizás más precisa, pero la información se dará a medida que esté disponible”, indicó el alcalde en su comunicado.McBride indicó que unos 75 agentes de policía de varias ciudades cercanas acudieron al centro comercial Mayfair Mall, donde se produjo el incidente, pero el sospechoso no ha sido detenido.El alcalde de la población, Dennis McBride, no confirmó el número de heridos en el tiroteo, pero aseguró en un comunicado que ninguno se encuentra en situación en que su vida corra peligro.Varias personas resultaron heridas este viernes en un tiroteo registrado en un centro comercial de la localidad de Wauwatosa, en Wisconsin (Estados Unidos).",2020-11-20T19:39:56-05:00,Actualizado el 20/11/2020 a las 19:43 ,https://elcomercio.pe/mundo/eeuu/tiroteo-en-wisconsin-mayfair-mall-varios-heridos-en-un-tiroteo-en-un-centro-comercial-de-estados-unidos-wauwatosa-noticia/
1, Boca Juniors vs. Lanús: Orsini le hizo una ‘huacha’ a Zambrano y marcó golazo | VIDEO,"El centrodelantero del Lanús completó su doblete sobre el final del primer tiempo, tras superar perfectamente al defensa peruano.","Así, Lanús se quedó con el triunfo y sumó cuatro puntos, que le posicionan en el tercer lugar de su grupo. Por su parte, Boca se mantiene segundo con seis puntos y le da la posibilidad a Newell’s Old Boys para que le alcance.Tras ello, Boca Juniors intentó igualar el marcador en la segundo mitad y recién a los 86 minutos, ‘Wanchope’ Ábila descontó para el ‘Xeneize’, pero no fue suficiente para empatar partido.#JuegaLanús Final del primer tiempo en La Bombonera: victoria parcial por 2-0. Doblete de Nicolás Orsini. pic.twitter.com/2rZXHKEPDDEl central peruano perdió por unos segundos la orientación y el ‘Tanque’ aprovechó eso para hacerle una ‘huacha’, superarlo y luego definir cruzado y fuerte su segundo gol.Pedro De la Vega, quien ya había asistido en el primer gol, metió el balón al área para que su compañero Orsini la pelee contra Carlos Zambrano.Orsini no se conformó con su primer gol y fue en busca de más. El conocido como ‘Tanque’ logró ampliar la ventaja de Lanús a dos poco antes de que finalice el primer tiempo del partido.Nicolás Orsini confirmó su gran condición de goleador este viernes en el duelo de su equipo, Lanús, contra el Boca Juniors por la cuarta jornada del grupo D de la Copa de la Liga Profesional de Fútbol. El centrodelantero se lució con un doblete y le dio el triunfo al ‘Granate’.",2020-11-20T19:39:39-05:00,Actualizado el 20/11/2020 a las 19:39 ,https://elcomercio.pe/deporte-total/futbol-mundial/boca-juniors-vs-lanus-orsini-le-hizo-una-huacha-a-carlos-zambrano-y-marco-golazo-para-el-2-0-del-granate-en-la-bombonera-video-noticia/
2," Liga 1 Fase 2 EN VIVO: horarios, partidos, fixture y tabla de posiciones de la fecha 7 del torneo peruano 2020",Solo quedan dos fechas para el final de la Liga 1. Sigue aquí todos los resultados y conoce cómo se mueve la tabla de posiciones en los grupos A y B. ,"Conforme a los criterios deTodos los encuentros de la Liga 1 los puedes ver EN VIVO y EN DIRECTO por:¡Días claves! ⚽️📝Te dejamos las programaciones de Fecha 7 y 8 de la Fase 2 de la #Liga1Movistar.#AlientaDesdeCasa pic.twitter.com/eggSyQTjJmSábado 21 de noviembreViernes 20 de noviembreJueves 19 de noviembrePor su parte, en el Grupo B, Alianza Lima y Sport Boys se verán las caras este sábado en un duelo donde solo sirve ganar. Los íntimos han caído en las dos últimas fechas (4-1 contra César Vallejo y 1-0 contra Cusco FC), resultados que lo han puesto a solo tres puntos de la zona de descenso.En el Grupo A, Universitario y Sporting Cristal empataron 2-2 en el Estadio Nacional. El equipo de Ángel Comizzo, campeón de la Fase 1, no gana desde hace cinco fechas, mientras que los celestes siguen en el primer lugar de su grupo y de la tabla acumulada.Liga 1 EN VIVO. La Fase 2 del campeonato peruano entra a su recta final. Solo quedan dos fechas para definir a los ganadores de los grupos A y B, los clasificados a la Copa Libertadores y Sudamericana, así como a los tres equipos que descenderán este año. La séptima jornada inició con los choques entre Alianza Universidad (1-1) Cantolao y San Martín (1-1) UTC. El resto de partidos se jugarán este viernes 20 y sábado 21 de noviembre",2020-11-20T19:38:46-05:00,Actualizado el 20/11/2020 a las 19:38 ,https://elcomercio.pe/respuestas/liga-1-fase-2-en-vivo-horarios-partidos-fixture-y-tabla-de-posiciones-de-la-fecha-7-del-torneo-peruano-2020-ver-liga-1-via-gol-peru-tabla-de-posiciones-alianza-lima-universitario-de-deportes-sporting-cristal-grupo-a-grupo-b-futbol-peruano-descenso-revtli-noticia/
3, Lanús logró triunfo a domicilio por 2-1 sobre Boca Juniors en la Copa de la Liga Profesional,"Con doblete de Nicolás Orsini, el ‘Granate’ derrotó al vigente campeón argentino y mantiene sus esperanzas de clasificar a la siguiente ronda del certamen.","Conforme a los criterios deLanús: Lautaro Morales; Leonel Di Plácido, Alexis Pérez, Ousmane N’Dong o Matías Pérez, Braian Aguirre; Facundo Pérez, Tomás Belmonte, Lucas Vera; Pedro de la Vega, José Sand y Franco Orozco.Boca Juniors: Esteban Andrada; Leonardo Jara, Lisandro López o Renzo Giampaoli, Carlos Zambrano, Emmanuel Mas; Gonzalo Maroni, Diego González, Cristian Medina, Exequiel Zeballos; Mauro Zárate y Ramón Ábila.En Argentina, el partido en La Bombonera será televisado en vivo y en directo a través de la señal de TNT Sports, canal oficial de la Copa de la Liga Profesional 2020. En tanto, en Estados Unidos se podrá ver en vivo el duelo entre Boca y Lanús por Fanatiz USA, que también transmitirá el juego en México.En tanto, Lanús es el colero de la serie con solo un punto luego de tres fechas disputadas. En su último partido, el equipo dirigido por Luis Zubeldía no pudo contra Newell’s en casa, perdiendo 4-2.Boca llega al encuentro contra los granates luego de perder el invicto la jornada anterior contra Talleres. En La Bombonera, el conjunto de Miguel Ángel Russo cayó 1-0. Con el triunfo, la ‘T’ superó a los ‘xeneizes’ en la tabla de posiciones del Grupo D, tomando el liderato con 7 puntos, una unidad más que el cuadro liderado por Carlos Tevez.Sigue Boca Juniors vs. Lanús EN VIVO EN DIRECTO con transmisión de TNT Sports por la fecha 4 del Grupo D de la Copa de la Liga Profesional 2020. El partido se jugará en La Bombonera desde las 19:20 horas de Argentina (5:30 de la tarde de Perú). El Comercio te llevará todas las incidencias, goles y minuto a minuto del duelo.",2020-11-20T19:33:08-05:00,Actualizado el 20/11/2020 a las 19:44 ,https://elcomercio.pe/deporte-total/futbol-mundial/via-tnt-sports-en-vivo-sigue-el-boca-juniors-vs-lanus-en-vivo-en-directo-por-tyc-sports-argentina-gratis-y-online-por-internet-minuto-a-minuto-horarios-y-canales-del-partido-por-la-copa-de-la-liga-profesional-2020-en-la-bombonera-goles-video-resumen-ar-noticia/
4, No pudo en casa: Boca Juniors perdió 2-1 ante Lanús en La Bombonera,El ‘Xeneize’ no pudo superar al ‘Granate’ y registró su segunda derrota en la Copa de la Liga Profesional de Argentina 2020.,"Conforme a los criterios deLanús: Lautaro Morales; Leonel Di Plácido, Alexis Pérez, Ousmane N’Dong o Matías Pérez, Braian Aguirre; Facundo Pérez, Tomás Belmonte, Lucas Vera; Pedro de la Vega, José Sand y Franco Orozco.Boca Juniors: Esteban Andrada; Leonardo Jara, Lisandro López o Renzo Giampaoli, Carlos Zambrano, Emmanuel Mas; Gonzalo Maroni, Diego González, Cristian Medina, Exequiel Zeballos; Mauro Zárate y Ramón Ábila.“Hay que hacer un partido muy completo y aprovechar la eventual cuota de suerte que se pueda tener. Más allá del momento, hay que aprovechar las oportunidades”, declaró el DT del granate en la antesala.Por su lado, Lanús irá a La Bombonera con la misión de sumar su primera victoria en el certamen. Un resultado positivo permitirá soñar con la clasificación a la siguiente fase al equipo comandado por Luis Zubeldía.Medina tiene 18 años y se ubica en el centro de la cancha. En principio, era enganche, pero le convirtieron en mediocentro. Mientras que Zeballos, también de 18, juega más adelantado y rinde bien por la banda izquierda, con el perfil cambiado porque es derecho.Este viernes, el jugador Gastón Ávila dio positivo a la prueba de la COVID-19. Es más, el central se perfilaba como titular en la zaga con Carlos Zambrano, pero Russo debe decidir entre Lisandro López o Renzo Giampaoli para acompañar al peruano.Por eso, el estratega argentino planificó reservar algunos nombres para que lleguen enteros al partido contra Internacional en Porto Alegre. Sin embargo, un caso de coronavirus cambió el plan del técnico.Los ‘Xeneizes’ buscarán recuperarse después de la derrota sufrida contra Talleres en la fecha pasada del certamen. Además, Miguel Ángel Russo también debe pensar en el reinicio de la Copa Libertadores desde la próxima semana.España – 11:20 p.m.Brasil – 7:20 p.m.Uruguay – 7:20 p.m.Paraguay – 7:20 p.m.Chile – 7:20 p.m.Argentina – 7:20 p.m.Venezuela – 6:20 p.m.Bolivia – 6:20 p.m.Ecuador – 5:20 p.m.Colombia – 5:20 p.m.Perú – 5:20 p.m.México – 4:20 p.m.TNT Sports es la señal habilitada para ver el partido por la Liga Profesional de Fútbol de Argentina que presentará a Boca Juniors con la aparición de Cristian Medina y Exequiel Zeballos, dos jóvenes que participarán en el choque contra los granates.Boca Juniors vs. Lanús EN VIVO y EN DIRECTO se enfrentan este viernes 20 de noviembre en la cuarta jornada del grupo D de la Copa de la Liga Profesional de Fútbol. El encuentro está programado para disputarse desde las 5:20 p.m. (horario peruano) en La Bombonera.",2020-11-20T19:30:04-05:00,Actualizado el 20/11/2020 a las 19:30 ,https://elcomercio.pe/deporte-total/futbol-mundial/boca-juniors-vs-lanus-en-vivo-en-directo-online-ver-tnt-sports-la-copa-de-la-liga-profesional-de-futbol-nczd-noticia/
5, Boca Juniors vs. Lanús: Así fue el gol del ‘Wanchope’ Ábila para el descuento ‘Xeneize’ | VIDEO,"El delantero del Boca Juniors anotó un gol a los 86 minutos, pero no fue suficiente para empatar el partido.","Ramón Ábila dejó su firma estampada en la derrota de su equipo, Boca Juniors, por 2-1 ante Lanús en la cuarta jornada del grupo D de la Copa de la Liga Profesional de Fútbol. El delantero ‘Xeneize’ marcó el descuento, pero no fue suficiente para lograr el empate.",2020-11-20T19:24:35-05:00,Actualizado el 20/11/2020 a las 19:24 ,https://elcomercio.pe/deporte-total/boca-juniors-vs-lanus-asi-fue-el-gol-del-wanchope-abila-para-el-descuento-xeneize-en-la-bombonera-copa-de-la-liga-profesional-de-argentina-video-noticia/
6, El e-commerce incrementará las ventas de DHL Express entre 30% y 40% en el 2021,"A fin de año, la compañía estima que las compras online representarán el 80% de sus ingresos , contando ya con el lanzamiento de la plataforma Latam eShop, que permite comprar en 100 tiendas de EE.UU. y aprovechar las ofertas de Black Friday, navidad, entre otras.","En Perú hay dos millones 430 mil 812 empresas, según un estudio del Instituto Nacional de Estadística e Informática (INEI) al cierre de 2019. La gran mayoría se dedicaba al comercio tradicional en tienda y la pandemia los tomó desprevenidos. “Ante las pérdidas millonarias que aún se están reportando las empresas en Perú quedan solo dos caminos o te lamentas de la situación o reactivas tu empresa mediante el e-commerce”, puntualizó Munayco.Por otro lado, la ejecutiva sostiene que el e-commerce es la alternativa más fuerte que los empresarios tienen para levantarse tras las pérdidas ocasionadas por la pandemia. “Este el momento de dar el salto de las ventas tradicionales al e-commerce. Es un mercado de seis millones de peruanos, de todas las edades, que desde la comodidad de su casa compran productos en Perú y el extranjero”, señaló.Alternativa para las pymesDe acuerdo a Munayco,  los clientes de DHL suelen comprar por Internet un valor promedio de ticket de US$ 263, sobre todo en los rubros de tecnología, ropa y lúdicos (juguetes, gamers). Precisamente, comprar videojuegos y zapatillas en tiendas de Estados Unidos suele ser 40% más barato, mientras que laptops y otros productos tecnológicos suele ser 30% más económico.Teniendo en cuenta estas perspectivas, la compañía lanzó  el Latam eShop, una plataforma que permite al usuario compra en 100 tiendas de Estados Unidos, ahorrar dinero y recibir su pedido en la puerta de su casa en un máximo 10 días, resaltó. “El consumidor tiene 8,5 mil millones de productos de donde elegir, a través del aplicativo móvil de la plataforma y la posibilidad de aprovechar las ofertas del Black Friday, Cyber Monday y Navidad”, comentó.Solo hasta septiembre, las compras online ya representaban el 60% de todas las ventas, por lo que estimamos que al fin del año estas superen el 80% de las transacciones de DHL. Asimismo, la ejecutiva estima que el e-commerce incrementará la facturación de la empresa en un 30% a 40% más durante el 2021.Antes de la pandemia el peruano veía a la compra online con cierto temor y desconfianza, pero ante el cierre de miles tiendas se vio impulsado a probar las compras por internet. Tal es así que el comercio electrónico creció en un 300% durante este año, si se compara con las compras del 2019.  Así lo aseguró Karen Munayco, directora comercial de DHL Express, quien detalló que “antes de la pandemia las compras online eran solo el 25% de nuestros ingresos y este fin de año cerraremos con un incremento que representa más del 80% de facturación”.Conforme a los criterios de",2020-11-20T19:21:55-05:00,Actualizado el 20/11/2020 a las 19:21 ,https://elcomercio.pe/economia/negocios/internet-el-e-commerce-incrementara-las-ventas-de-dhl-express-entre-30-y-40-en-el-2021-dhl-e-commerce-noticia/
7, Argentina registra 9.608 nuevos casos de coronavirus en un día,"De acuerdo con el informe diario que difunde el Ministerio de Salud argentino, la provincia de Buenos Aires permanece como el distrito con más casos confirmados hasta el momento (602.122, de los cuales 2.305 fueron notificados este viernes)","__________________________Conforme a los criterios deLos positivos habían llegado en Argentina a un récord diario de 18.326 el pasado 21 de octubre pasado. El Gobierno decidió que otras diez zonas del país, donde la tasa de contagios está estable o en crecimiento, permanezcan bajo la categoría de aislamiento social preventivo y obligatorio.La región metropolitana de Buenos Aires se encontraba bajo la categoría de aislamiento social preventivo y obligatorio desde el 20 de marzo y desde el 6 de noviembre ha pasado a estar bajo la categoría de distanciamiento social preventivo y obligatorio, lo que habilita a reanudar varias actividades, aunque manteniendo los protocolos de prevención.El cambio más destacado se ha dado en la región de Buenos Aires y su cordón urbano, que concentra a 15,4 millones de habitantes y que es el área con mayor número de casos de todo el país, pero que en las últimas semanas comenzó a desacelerar la curva de contagios.El presidente argentino, Alberto Fernández, anunció el pasado 6 de noviembre la continuidad, en principio hasta el próximo día 29, de las medidas sanitarias adoptadas desde el 20 de marzo para hacer frente a la pandemia, aunque introdujo cambios en cuanto a la calificación sanitaria de algunas zonas del país.Hasta el momento, en Argentina se ha realizado un total de 3,62 millones de test para detectar el virus, con una tasa de 79.840 pruebas por cada millón de habitantes.El porcentaje de ocupación de camas de terapia intensiva por todo tipo de patologías es del 57,6 % a nivel nacional, pero del 60,7 % si solo se considera Buenos Aires y su populosa periferia.Por otra parte, según informaron fuentes oficiales, hay 1.177.819 pacientes que ya han sido dados de alta, mientras que 4.187 personas con diagnóstico confirmado de la covid-19 permanecen ingresadas en unidades de cuidados intensivos.En tercer lugar se sitúa la central provincia de Santa Fe, con un total de 136.009 positivos, 1.757 notificados este viernes.De acuerdo con el informe diario que difunde el Ministerio de Salud argentino, la provincia de Buenos Aires permanece como el distrito con más casos confirmados hasta el momento (602.122, de los cuales 2.305 fueron notificados este viernes), seguida por la capital del país, con 155.869 contagios confirmados, 410 de ellos reportados este viernes.El número de casos conocidos este viernes marca un descenso respecto a los registrados este jueves, cuando se notificaron 10.097 contagios.Argentina registró este viernes 9.608 nuevos casos del coronavirus SARS-CoV-2, con lo que el número total de contagios se elevó a 1.359.042, mientras que las muertes ascendieron a 36.790, tras ser confirmados 261 fallecimientos en las últimas 24 horas.",2020-11-20T19:20:57-05:00,Actualizado el 20/11/2020 a las 19:20 ,https://elcomercio.pe/mundo/latinoamerica/coronavirus-en-argentina-en-vivo-casos-y-cifras-oficiales-del-viernes-20-de-noviembre-del-2020-argentina-registra-9608-nuevos-casos-de-covid-19-en-un-dia-en-directo-minuto-a-minuto-amba-buenos-aires-alberto-fernandez-noticia/
8,,,,,,https://elcomercio.pe/videos/entretenimiento/carlos-rivera-y-maluma-lanzan-una-ranchera-romantica-videos-nnav-agefe-entretenimiento-noticia/
9," Barcelona vs. Atlético de Madrid EN DIRECTO: horario, canales de TV y cómo VER EN VIVO el partido por LaLiga Santander",Barcelona vs. Atlético de Madrid EN VIVO y EN DIRECTO. Sigue todas las incidencias del vibrante duelo por la LaLiga Santander.,"Conforme a los criterios deAtlético de Madrid: Oblak; Trippier, Savic, Giménez, Hermoso; Koke, Saúl, Marcos Llorente, Carrasco; Joao Félix y Correa.Barcelona: Ter Stegen; Sergi Roberto, Lenglet, Piqué, Jordi Alba; Pjanic, De Jong; Coutinho, Dembélé, Leo Messi; Griezmann.[CONVOCATORIA]⚽ #AtletiBarça📅 Sábado, 21 de noviembre pic.twitter.com/o9OKlGi86SEl choque entre Barcelona y Atlético de Madrid por la LaLiga Santander 2020 será transmitido por la señal de ESPN 2. Por Internet, las opciones son Movistar+ para España, mientras que ESPN Play para Sudamérica. Asimismo, podrás seguir el minuto a minuto, estadísticas, goles y otras incidencias del cotejo a través de la web de El Comercio.En tanto, los colchoneros, terceros en la tabla de posiciones con 17 puntos, saben que una victoria los pondría como líderes del torneo, siempre y cuando la Real Sociedad no sume puntos en su visita al Cádiz. El cuadro de Diego Simeone viene de ganar tres partidos consecutivos en el certamen. Sin duda, extrañarán a su goleador Luis Suárez, quien no será de la partida  tras dar positivo a COVID-19 con su selección.Liderados por Lionel Messi, el conjunto azulgrana no quiere dejar escapar más puntos en la liga española, donde marchan en el octavo puesto con solo 11 puntos. Para este duelo, el técnico Ronald Koeman podrá contar con el brasileño Philippe Coutinho, quien se recuperó de su lesión. Las únicas bajas confirmadas en el Barcelona son el centrocampista Sergio Busquets y el delantero Ansu Fati.Barcelona vs. Atlético de Madrid EN VIVO y EN DIRECTO se enfrentan este sábado 21 de noviembre en el partido más atractivo de la jornada 10 de LaLiga Santander 2020. Los culés buscarán llevarse los tres puntos en su visita al Estadio Wanda Metropolitano de Madrid. El pitazo inicial se dará a las 3:00 p.m. (hora peruana). Sigue el minuto a minuto del choque a través de la web de El Comercio.",2020-11-20T19:20:08-05:00,Actualizado el 20/11/2020 a las 19:20 ,https://elcomercio.pe/respuestas/barcelona-vs-atletico-de-madrid-en-directo-horario-canales-de-tv-y-como-ver-en-vivo-el-partido-por-laliga-santander-via-espn-2-jornada-10-estadio-wanda-metropolitano-laliga-en-vivo-espana-lionel-messi-movistar-espn-play-revtli-noticia/
